id,teks,label
1,"Kaka tidur yaa, udah pagi, gaboleh capek2",Non-bullying
2,makan nasi padang aja begini badannya,Non-bullying
3,yang aku suka dari dia adalah selalu cukur jembut sebelum manggung,Bullying
4,Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa,Non-bullying
5,Manusia apa bidadari sih herann deh cantik terus 😌♥️,Non-bullying
6,@ayu.kinantii isyan skrg berubah ya:( baju nya nakal,Bullying
7,"Gemesnya isyan kayak tango, berlapis lapis ciaaaa",Non-bullying
8,"Makin jelek aja anaknya, padahal ibu ayahnya cakep2",Bullying
9,Kok anaknya kayak udah tua gitu ya mukanya kk tasya,Bullying
10,Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya,Bullying
11,Muka nya muka kolot wkwk bukan muka bayi2 lucu gt,Bullying
12,"Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu",Bullying
13,Lo sintingnya udah tingkat dewa,Bullying
14,Sepertinya Lutfi setelah putus dgn salsa seperti orang stress,Bullying
15,ANAK TOLOL INI MULAI AKTIF YA BUND,Bullying
16,bisa mati aja ga? gedeg gua liat lu. ANJIM,Bullying
17,"Woy Lutfi asu , sok asik Lo ANJING !",Bullying
18,Apasih kontol berantem aja lah ayo bngst @lutfiagizal,Bullying
19,Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya,Bullying
20,"Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..",Bullying
21,Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu,Non-bullying
22,Setengah iri setengah jadi motivasi ini,Non-bullying
23,Ancur hidup lu kalau sama dia… Sumpah..,Bullying
24,serem banget muka lo mel kayak ayam potong merah banget,Bullying
25,"Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw",Non-bullying
26,Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss,Non-bullying
27,Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!,Bullying
28,Apaan sih gak jelas hidupnya,Bullying
29,"Sebelum aku Unfoll, aku mau bilang NAJISSSS",Bullying
30,muka lu sensual tapi norak kenapa dah,Bullying
31,Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri,Non-bullying
32,"Kalau pas penempatannya, sebenernya kamu imut banget loh mel.",Non-bullying
33,Cakep kaga jelek iya HAHAH,Bullying
34,jari jari kaki kayak jarinya tukang panggul,Bullying
35,"Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia",Bullying
36,"Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,",Non-bullying
37,Ini diedit biar langsing padahal mah klo live bomber badannya,Bullying
38,Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong,Bullying
39,Bagusan foto pakai masker drpd gak pakai masker,Non-bullying
40,@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???,Bullying
41,Bra nya kedodoran kak make ukuran gede yaa,Bullying
42,Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi,Non-bullying
43,"mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan",Bullying
44,Semoga lancar terus usahanya mel,Non-bullying
45,Cantik banget kalo meldi muka natural kek gini,Non-bullying
